Employee_ID,First_Name,Last_Name,Age,Department_Region,Current_Status,Join_Date,Salary,Email,Phone,Performance_Score,Remote_Work,Department,Region,Tenure,Target_Bonus,Geographic_Differential,Actual_Bonus
EMP1896,Charlie,Miller,NULL,Cloud Tech-Florida,Active,2020-03-23,119389.15,charlie.miller@example.com,(922)-341-0345,Poor,"FALSE",Cloud Tech,Florida,5.8,1.18,0.954,0.56
EMP1897,Alice,Brown,40,Sales-Florida,Inactive,2024-07-16,105861.23,alice.brown@example.com,(996)-733-1166,Good,"TRUE",Sales,Florida,1.5,1.08,0.954,1.55
EMP1898,Heidi,Davis,40,Admin-Texas,Pending,2024-03-22,50869.61,heidi.davis@example.com,(726)-960-8436,Average,"TRUE",Admin,Texas,1.8,1.05,0.982,1.03
EMP1899,David,Williams,30,HR-California,Active,2023-08-19,NULL,david.williams@example.com,(685)-507-8966,Excellent,"TRUE",HR,California,2.4,1.07,1.149,2.46
EMP1900,Eva,Jones,30,DevOps-Florida,Pending,2024-03-10,90856.21,eva.jones@example.com,(935)-219-6262,Average,"TRUE",DevOps,Florida,1.8,1.1,0.954,1.05
EMP1901,Heidi,Brown,30,DevOps-Florida,Active,2024-06-05,111008.63,heidi.brown@example.com,(355)-643-4368,Excellent,"TRUE",DevOps,Florida,1.6,1.1,0.954,2.1
EMP1902,Alice,Miller,25,Finance-Nevada,Inactive,2022-12-23,52289.99,alice.miller@example.com,(709)-317-0694,Poor,"TRUE",Finance,Nevada,3,1.1,1.016,0.56
EMP1903,Eva,Davis,NULL,Sales-Illinois,Active,2024-06-01,97926.56,eva.davis@example.com,(560)-767-6163,Average,"TRUE",Sales,Illinois,1.6,1.08,1.039,1.12
EMP1904,Frank,Williams,25,Sales-Nevada,Inactive,2024-12-23,53609.38,frank.williams@example.com,(534)-547-2238,Good,"FALSE",Sales,Nevada,1,1.08,1.016,1.65
EMP1905,Heidi,Johnson,NULL,Cloud Tech-California,Inactive,2020-12-24,95372.09,heidi.johnson@example.com,(898)-306-5030,Excellent,"FALSE",Cloud Tech,California,5,1.15,1.149,2.64
EMP1906,David,Johnson,30,HR-New York,Pending,2020-08-20,95432.69,david.johnson@example.com,(219)-804-1846,Excellent,"TRUE",HR,New York,5.4,1.1,1.126,2.48
EMP1907,David,Williams,30,HR-California,Inactive,2022-10-28,97615.87,david.williams@example.com,(242)-642-3641,Average,"FALSE",HR,California,3.2,1.08,1.149,1.24
EMP1908,Bob,Davis,35,HR-Florida,Inactive,2022-10-23,86867.78,bob.davis@example.com,(813)-190-9247,Poor,"FALSE",HR,Florida,3.2,1.08,0.954,0.52
EMP1909,Eva,Miller,40,Sales-California,Pending,2023-11-20,106615.71,eva.miller@example.com,(762)-303-9110,Average,"FALSE",Sales,California,2.1,1.1,1.149,1.26
EMP1910,Bob,Williams,30,Finance-Texas,Active,2022-03-11,112856.21,bob.williams@example.com,(428)-178-5227,Poor,"FALSE",Finance,Texas,3.8,1.1,0.982,0.54
EMP1911,Bob,Jones,25,Admin-California,Active,2023-11-28,60356.78,bob.jones@example.com,(230)-524-8087,Poor,"TRUE",Admin,California,2.1,1.05,1.149,0.6
EMP1912,David,Jones,NULL,DevOps-Texas,Inactive,2022-05-03,117870.22,david.jones@example.com,NULL,Excellent,"FALSE",DevOps,Texas,3.7,1.13,0.982,2.22
EMP1913,Charlie,Johnson,40,HR-Florida,Inactive,2024-02-19,95127.91,charlie.johnson@example.com,(594)-737-2131,Average,"FALSE",HR,Florida,1.9,1.06,0.954,1.01
EMP1914,Bob,Brown,25,Admin-Illinois,Pending,2021-11-18,78818.42,bob.brown@example.com,(901)-620-4786,Average,"FALSE",Admin,Illinois,4.1,1.05,1.039,1.09
EMP1915,Frank,Miller,40,Sales-Nevada,Pending,2022-12-21,108933.55,frank.miller@example.com,(688)-687-8598,Poor,"TRUE",Sales,Nevada,3,1.1,1.016,0.56
EMP1916,Eva,Johnson,NULL,Admin-California,Active,2024-06-04,68200.52,eva.johnson@example.com,(648)-628-7202,Average,"TRUE",Admin,California,1.6,1.05,1.149,1.21
EMP1917,Eva,Brown,25,Admin-California,Inactive,2022-07-22,116934.97,eva.brown@example.com,(195)-419-6663,Good,"TRUE",Admin,California,3.4,1.05,1.149,1.81
EMP1918,Charlie,Brown,NULL,HR-New York,Active,2024-09-14,99567.78,charlie.brown@example.com,(505)-730-3626,Good,"TRUE",HR,New York,1.3,1.06,1.126,1.79
EMP1919,Charlie,Garcia,30,Admin-Texas,Active,2021-10-10,90216.76,charlie.garcia@example.com,(924)-632-0373,Average,"TRUE",Admin,Texas,4.2,1.05,0.982,1.03
EMP1920,Frank,Jones,30,Admin-Illinois,Pending,2020-03-12,96588.73,frank.jones@example.com,(767)-753-7259,Average,"TRUE",Admin,Illinois,5.8,1.05,1.039,1.09
EMP1921,Charlie,Davis,35,Finance-Illinois,Active,2022-12-28,71109.18,charlie.davis@example.com,(321)-450-5765,Poor,"TRUE",Finance,Illinois,3,1.1,1.039,0.57
EMP1922,Grace,Smith,40,Admin-Florida,Inactive,2020-11-15,50300.60,grace.smith@example.com,(194)-588-7070,Good,"FALSE",Admin,Florida,5.1,1.05,0.954,1.5
EMP1923,Frank,Davis,35,Finance-California,Pending,2023-09-27,60295.84,frank.davis@example.com,(553)-482-0127,Good,"FALSE",Finance,California,2.3,1.1,1.149,1.9
EMP1924,Heidi,Smith,35,DevOps-Texas,Pending,2022-09-07,113012.21,heidi.smith@example.com,(400)-838-5075,Excellent,"FALSE",DevOps,Texas,3.3,1.13,0.982,2.22
EMP1925,Bob,Williams,35,Cloud Tech-Florida,Pending,2024-09-18,65425.54,bob.williams@example.com,(597)-595-4507,Poor,"TRUE",Cloud Tech,Florida,1.3,1.1,0.954,0.52
EMP1926,Frank,Jones,25,Sales-Nevada,Active,2023-04-09,86850.37,frank.jones@example.com,(917)-768-0897,Excellent,"TRUE",Sales,Nevada,2.7,1.1,1.016,2.24
EMP1927,Eva,Brown,30,Cloud Tech-Texas,Pending,2024-10-05,81182.07,eva.brown@example.com,(126)-574-2230,Good,"TRUE",Cloud Tech,Texas,1.2,1.1,0.982,1.62
EMP1928,Bob,Miller,NULL,Finance-New York,Inactive,2021-10-12,92222.03,bob.miller@example.com,(964)-630-0401,Poor,"TRUE",Finance,New York,4.2,1.12,1.126,0.63
EMP1929,Alice,Smith,35,Finance-New York,Pending,2024-10-14,79934.83,alice.smith@example.com,(369)-362-6893,Average,"TRUE",Finance,New York,1.2,1.08,1.126,1.22
EMP1930,Alice,Davis,35,HR-California,Inactive,2022-07-01,111201.12,alice.davis@example.com,(301)-204-7136,Poor,"FALSE",HR,California,3.5,1.08,1.149,0.62
EMP1931,Heidi,Brown,40,Finance-California,Active,2024-07-08,100960.05,heidi.brown@example.com,(271)-175-9573,Average,"FALSE",Finance,California,1.5,1.08,1.149,1.24
EMP1932,Grace,Smith,30,Sales-Illinois,Active,2020-10-21,64544.87,grace.smith@example.com,(988)-558-2983,Average,"TRUE",Sales,Illinois,5.2,1.15,1.039,1.19
EMP1933,Frank,Smith,25,Sales-Florida,Active,2020-01-14,78662.24,frank.smith@example.com,(933)-067-4583,Poor,"TRUE",Sales,Florida,6,1.15,0.954,0.55
EMP1934,Grace,Garcia,30,Sales-Florida,Pending,2023-03-09,102867.06,grace.garcia@example.com,(760)-944-1282,Average,"TRUE",Sales,Florida,2.8,1.1,0.954,1.05
EMP1935,Charlie,Smith,40,HR-Illinois,Inactive,2020-03-27,107595.95,charlie.smith@example.com,(337)-218-8565,Excellent,"TRUE",HR,Illinois,5.8,1.1,1.039,2.29
EMP1936,Eva,Miller,40,Sales-Nevada,Inactive,2021-04-04,NULL,eva.miller@example.com,(695)-413-2970,Good,"FALSE",Sales,Nevada,4.7,1.12,1.016,1.71
EMP1937,Eva,Jones,35,DevOps-Nevada,Inactive,2020-09-11,95766.91,eva.jones@example.com,(506)-662-6704,Average,"TRUE",DevOps,Nevada,5.3,1.18,1.016,1.2
EMP1938,Grace,Miller,30,Finance-Nevada,Pending,2021-05-16,51990.98,grace.miller@example.com,(514)-377-6935,Excellent,"TRUE",Finance,Nevada,4.6,1.12,1.016,2.28
EMP1939,Heidi,Johnson,25,Sales-Nevada,Inactive,2023-04-05,83634.01,heidi.johnson@example.com,(634)-392-5294,Average,"TRUE",Sales,Nevada,2.7,1.1,1.016,1.12
EMP1940,Eva,Brown,40,DevOps-Texas,Inactive,2022-11-15,NULL,eva.brown@example.com,(961)-111-0285,Good,"TRUE",DevOps,Texas,3.1,1.13,0.982,1.66
EMP1941,Eva,Jones,30,Sales-Texas,Active,2021-10-16,82273.08,eva.jones@example.com,(712)-007-2023,Excellent,"FALSE",Sales,Texas,4.2,1.12,0.982,2.2
EMP1942,Frank,Garcia,30,Cloud Tech-California,Inactive,2022-05-09,94537.30,frank.garcia@example.com,(559)-102-4509,Good,"TRUE",Cloud Tech,California,3.6,1.13,1.149,1.95
EMP1943,Alice,Jones,35,HR-Illinois,Pending,2020-06-06,85970.65,alice.jones@example.com,(910)-903-2670,Good,"TRUE",HR,Illinois,5.6,1.1,1.039,1.71
EMP1944,Charlie,Jones,25,Sales-New York,Pending,2021-10-22,111071.02,charlie.jones@example.com,(494)-981-9420,Excellent,"FALSE",Sales,New York,4.2,1.12,1.126,2.52
EMP1945,Eva,Davis,35,DevOps-Nevada,Pending,2022-01-12,56708.34,eva.davis@example.com,(794)-281-7933,Excellent,"FALSE",DevOps,Nevada,4,1.13,1.016,2.3
EMP1946,Charlie,Jones,25,Admin-Illinois,Inactive,2022-02-02,104516.55,charlie.jones@example.com,NULL,Excellent,"FALSE",Admin,Illinois,3.9,1.05,1.039,2.18
EMP1947,Charlie,Garcia,25,Admin-New York,Pending,2021-03-28,108210.15,charlie.garcia@example.com,(663)-453-3721,Poor,"TRUE",Admin,New York,4.8,1.05,1.126,0.59
EMP1948,Bob,Miller,40,Finance-Texas,Active,2024-08-03,NULL,bob.miller@example.com,NULL,Excellent,"TRUE",Finance,Texas,1.4,1.08,0.982,2.12
EMP1949,Frank,Jones,35,DevOps-California,Active,2024-07-31,80935.65,frank.jones@example.com,(145)-593-7660,Excellent,"FALSE",DevOps,California,1.4,1.1,1.149,2.53
EMP1950,Frank,Williams,30,DevOps-California,Active,2024-03-04,107020.19,frank.williams@example.com,(894)-370-5262,Excellent,"FALSE",DevOps,California,1.8,1.1,1.149,2.53
EMP1951,Charlie,Brown,30,HR-New York,Active,2020-09-23,118677.67,charlie.brown@example.com,(510)-046-2775,Excellent,"FALSE",HR,New York,5.3,1.1,1.126,2.48
EMP1952,Bob,Jones,25,Cloud Tech-Florida,Inactive,2020-03-28,63744.57,bob.jones@example.com,(572)-565-9201,Average,"FALSE",Cloud Tech,Florida,5.8,1.18,0.954,1.13
EMP1953,Alice,Brown,40,Cloud Tech-California,Active,2020-05-15,NULL,alice.brown@example.com,(461)-752-0237,Poor,"FALSE",Cloud Tech,California,5.6,1.18,1.149,0.68
EMP1954,Bob,Williams,25,Sales-New York,Pending,2021-02-13,62934.73,bob.williams@example.com,(974)-326-0054,Good,"FALSE",Sales,New York,4.9,1.12,1.126,1.89
EMP1955,Bob,Williams,30,DevOps-California,Pending,2021-12-13,74654.23,bob.williams@example.com,(955)-017-8331,Excellent,"TRUE",DevOps,California,4.1,1.15,1.149,2.64
EMP1956,David,Brown,NULL,Sales-Texas,Active,2024-08-05,NULL,david.brown@example.com,(584)-868-9992,Average,"TRUE",Sales,Texas,1.4,1.08,0.982,1.06
EMP1957,David,Smith,30,HR-New York,Pending,2020-01-09,118150.59,david.smith@example.com,(607)-984-8703,Average,"TRUE",HR,New York,6,1.1,1.126,1.24
EMP1958,David,Johnson,NULL,DevOps-Florida,Inactive,2023-11-30,91256.64,david.johnson@example.com,(506)-917-6798,Average,"FALSE",DevOps,Florida,2.1,1.1,0.954,1.05
EMP1959,Bob,Davis,30,HR-Florida,Inactive,2021-03-14,85997.57,bob.davis@example.com,(359)-374-4038,Good,"FALSE",HR,Florida,4.8,1.09,0.954,1.56
EMP1960,Frank,Smith,25,Finance-Texas,Pending,2020-10-05,84707.12,frank.smith@example.com,(464)-083-0372,Excellent,"FALSE",Finance,Texas,5.2,1.15,0.982,2.26
EMP1961,Eva,Smith,NULL,DevOps-Texas,Active,2021-11-02,84559.90,eva.smith@example.com,(606)-014-8859,Poor,"FALSE",DevOps,Texas,4.2,1.15,0.982,0.56
EMP1962,Heidi,Miller,NULL,DevOps-California,Pending,2024-09-18,81076.91,heidi.miller@example.com,(849)-079-3883,Poor,"FALSE",DevOps,California,1.3,1.1,1.149,0.63
EMP1963,Eva,Davis,40,Admin-Texas,Inactive,2023-10-22,NULL,eva.davis@example.com,(136)-852-8305,Average,"FALSE",Admin,Texas,2.2,1.05,0.982,1.03
EMP1964,Heidi,Davis,25,Finance-Florida,Pending,2023-09-10,97356.31,heidi.davis@example.com,(153)-701-2423,Good,"TRUE",Finance,Florida,2.3,1.1,0.954,1.57
EMP1965,Grace,Smith,40,DevOps-Illinois,Active,2024-02-27,114770.32,grace.smith@example.com,(462)-632-5143,Good,"TRUE",DevOps,Illinois,1.8,1.1,1.039,1.71
EMP1966,Bob,Jones,35,Admin-California,Active,2023-05-03,109082.07,bob.jones@example.com,(881)-121-0313,Good,"FALSE",Admin,California,2.7,1.05,1.149,1.81
EMP1967,David,Miller,40,DevOps-Florida,Inactive,2024-04-15,99944.57,david.miller@example.com,(217)-518-8780,Poor,"TRUE",DevOps,Florida,1.7,1.1,0.954,0.52
EMP1968,Eva,Miller,40,HR-Florida,Pending,2023-05-20,116509.72,eva.miller@example.com,(794)-151-5262,Average,"FALSE",HR,Florida,2.6,1.07,0.954,1.02
EMP1969,Eva,Williams,30,Finance-Texas,Active,2021-05-28,84253.90,eva.williams@example.com,(840)-911-2251,Excellent,"TRUE",Finance,Texas,4.6,1.12,0.982,2.2
EMP1970,Charlie,Garcia,25,Cloud Tech-Nevada,Active,2024-08-27,54776.01,charlie.garcia@example.com,(883)-750-5660,Poor,"FALSE",Cloud Tech,Nevada,1.3,1.1,1.016,0.56
EMP1971,Charlie,Davis,40,Sales-Nevada,Inactive,2020-11-08,71192.68,charlie.davis@example.com,(863)-239-7912,Average,"FALSE",Sales,Nevada,5.1,1.15,1.016,1.17
EMP1972,Bob,Smith,NULL,Finance-Florida,Active,2021-08-24,96346.53,bob.smith@example.com,(787)-655-3006,Average,"TRUE",Finance,Florida,4.4,1.12,0.954,1.07
EMP1973,Eva,Williams,NULL,HR-Illinois,Pending,2020-02-06,116680.63,eva.williams@example.com,(309)-505-5604,Excellent,"TRUE",HR,Illinois,5.9,1.1,1.039,2.29
EMP1974,Grace,Brown,25,Finance-Florida,Inactive,2024-10-12,76343.56,grace.brown@example.com,(712)-198-8191,Excellent,"FALSE",Finance,Florida,1.2,1.08,0.954,2.06
EMP1975,Alice,Johnson,30,Sales-Nevada,Inactive,2024-12-16,99424.14,alice.johnson@example.com,(778)-851-9052,Excellent,"FALSE",Sales,Nevada,1,1.08,1.016,2.19
EMP1976,Charlie,Garcia,35,DevOps-Florida,Inactive,2024-04-13,57656.74,charlie.garcia@example.com,(486)-401-0423,Good,"TRUE",DevOps,Florida,1.7,1.1,0.954,1.57
EMP1977,Heidi,Garcia,40,Sales-New York,Pending,2020-04-24,77396.94,heidi.garcia@example.com,(624)-561-8516,Excellent,"TRUE",Sales,New York,5.7,1.15,1.126,2.59
EMP1978,Grace,Garcia,NULL,DevOps-California,Inactive,2021-10-18,54299.68,grace.garcia@example.com,(446)-004-5211,Average,"FALSE",DevOps,California,4.2,1.15,1.149,1.32
EMP1979,Charlie,Miller,35,HR-Nevada,Pending,2020-02-25,103563.58,charlie.miller@example.com,(899)-151-1454,Excellent,"TRUE",HR,Nevada,5.9,1.1,1.016,2.24
EMP1980,Grace,Brown,25,Finance-California,Inactive,2022-04-23,74588.85,grace.brown@example.com,(129)-391-3043,Average,"FALSE",Finance,California,3.7,1.1,1.149,1.26
EMP1981,David,Garcia,30,DevOps-California,Pending,2020-06-22,113727.23,david.garcia@example.com,(881)-898-4840,Poor,"FALSE",DevOps,California,5.5,1.18,1.149,0.68
EMP1982,Eva,Brown,25,HR-New York,Active,2023-01-07,72828.18,eva.brown@example.com,(604)-615-4020,Good,"FALSE",HR,New York,3,1.07,1.126,1.81
EMP1983,Grace,Jones,NULL,Sales-Florida,Inactive,2020-02-11,98717.09,grace.jones@example.com,(190)-170-7567,Poor,"FALSE",Sales,Florida,5.9,1.15,0.954,0.55
EMP1984,Frank,Garcia,40,Sales-Florida,Inactive,2023-03-18,56840.80,frank.garcia@example.com,(142)-983-1521,Poor,"TRUE",Sales,Florida,2.8,1.1,0.954,0.52
EMP1985,David,Johnson,35,Finance-Illinois,Pending,2021-11-26,61663.91,david.johnson@example.com,(910)-732-2835,Average,"TRUE",Finance,Illinois,4.1,1.12,1.039,1.16
EMP1986,Grace,Brown,30,Finance-Nevada,Active,2024-09-17,109523.40,grace.brown@example.com,NULL,Poor,"TRUE",Finance,Nevada,1.3,1.08,1.016,0.55
EMP1987,Eva,Brown,25,HR-Illinois,Inactive,2024-07-05,65812.02,eva.brown@example.com,(396)-384-5268,Average,"TRUE",HR,Illinois,1.5,1.06,1.039,1.1
EMP1988,Bob,Johnson,NULL,Cloud Tech-Illinois,Inactive,2021-07-13,54708.88,bob.johnson@example.com,(694)-439-1648,Excellent,"TRUE",Cloud Tech,Illinois,4.5,1.15,1.039,2.39
EMP1989,Heidi,Garcia,40,Admin-California,Active,2023-08-27,107661.73,heidi.garcia@example.com,(701)-693-4291,Excellent,"TRUE",Admin,California,2.3,1.05,1.149,2.41
EMP1990,Eva,Johnson,40,DevOps-Illinois,Inactive,2021-02-13,79002.00,eva.johnson@example.com,(913)-203-3015,Average,"TRUE",DevOps,Illinois,4.9,1.15,1.039,1.19
EMP1991,Heidi,Brown,NULL,Admin-Texas,Pending,2023-12-11,86135.69,heidi.brown@example.com,(234)-190-3105,Excellent,"FALSE",Admin,Texas,2.1,1.05,0.982,2.06
EMP1992,Heidi,Johnson,30,DevOps-Nevada,Inactive,2021-07-02,115601.40,heidi.johnson@example.com,(153)-722-1555,Good,"TRUE",DevOps,Nevada,4.5,1.15,1.016,1.75
EMP1993,Grace,Brown,NULL,DevOps-Nevada,Active,2022-12-05,64045.36,grace.brown@example.com,(684)-732-3652,Poor,"TRUE",DevOps,Nevada,3.1,1.13,1.016,0.57
EMP1994,David,Brown,30,DevOps-Nevada,Inactive,2024-09-24,80477.21,david.brown@example.com,(377)-460-4066,Good,"FALSE",DevOps,Nevada,1.3,1.1,1.016,1.68
EMP1995,Bob,Jones,30,Finance-California,Inactive,2023-08-16,61240.90,bob.jones@example.com,(200)-784-3613,Poor,"TRUE",Finance,California,2.4,1.1,1.149,0.63
EMP1996,David,Smith,40,Admin-Texas,Active,2021-01-28,51939.29,david.smith@example.com,(244)-260-7818,Excellent,"TRUE",Admin,Texas,4.9,1.05,0.982,2.06
EMP1997,Eva,Brown,40,Finance-Illinois,Inactive,2022-05-14,95284.54,eva.brown@example.com,(754)-373-4763,Good,"FALSE",Finance,Illinois,3.6,1.1,1.039,1.71
EMP1998,Charlie,Garcia,35,Admin-Texas,Inactive,2024-06-05,106247.67,charlie.garcia@example.com,(273)-720-3762,Excellent,"TRUE",Admin,Texas,1.6,1.05,0.982,2.06
EMP1999,Charlie,Williams,25,DevOps-Florida,Active,2020-04-23,110170.88,charlie.williams@example.com,(882)-145-8413,Poor,"TRUE",DevOps,Florida,5.7,1.18,0.954,0.56
EMP2000,Charlie,Miller,25,HR-Nevada,Pending,2024-06-10,52615.44,charlie.miller@example.com,(846)-019-1343,Average,"TRUE",HR,Nevada,1.6,1.06,1.016,1.08
EMP2001,Eva,Davis,30,DevOps-Illinois,Inactive,2020-04-18,82547.26,eva.davis@example.com,(389)-982-7801,Average,"FALSE",DevOps,Illinois,5.7,1.18,1.039,1.23
EMP2002,Bob,Smith,35,Finance-Illinois,Pending,2020-06-29,63049.22,bob.smith@example.com,NULL,Good,"TRUE",Finance,Illinois,5.5,1.15,1.039,1.79
